Country,international_student_count,population
Afghanistan,null,38326
Albania,2246,2872
Algeria,8582,43091
American Samoa,null,47
Andorra,287,77
Angola,null,32899
Anguilla,null,15
Antigua and Barbuda,null,92
Argentina,121577,44908
Armenia,5160,2812
Aruba,null,108
Australia,458279,66739
Austria,75869.89202,8901
Azerbaijan,5513,10274
Bahamas,null,406
Bahrain,6192,1494
Bangladesh,null,166427
Barbados,null,280
Belarus,21211,9661
Belgium,54855,11541
Belize,null,392
Benin,3681,12467
Bermuda,null,64
Bhutan,null,770
Bolivia,null,11862
Bosnia and Herzegovina,5454,3341
Botswana,1185,2524
Brazil,22364,212565
British Virgin Islands,157,31
Brunei Darussalam,420,440
Bulgaria,17575,7020
Burkina Faso,3106,21232
Burundi,null,12054
Cambodia,null,16296
Cameroon,12389,26137
Canada,323157,37758
Cabo Verde,null,580
Cayman Islands,null,67
Central African Republic,null,5272
Chad,null,16379
Chile,12832,19207
China,225100,1423998
"China, Hong Kong Special Administrative Region",47301,7502
"China, Macao Special Administrative Region",20138,670
Colombia,5058,50617
Comoros,null,798
Congo,null,5635
Cook Islands,null,17
Costa Rica,2668,5105
Cote d'Ivoire,6160,26478
Croatia,4768,4115
Cuba,8606,11309
Curaçao,null,189
Cyprus,14463,1234
Czechia,47768,10538
North Korea,null,25813
Democratic Republic of the Congo,2467,91332
Denmark,31478,5811
Djibouti,null,1082
Dominica,null,72
Dominican Republic,10291,10939
Ecuador,5526,17441
Egypt,34198,106539
El Salvador,790,6281
Equatorial Guinea,null,1578
Eritrea,null,3524
Estonia,5520,1329
Eswatini,null,1174
Ethiopia,null,115638
Falkland Islands (Malvinas),null,4
Fiji,null,918
Finland,23591,5525
France,252444,64458
French Guiana,null,288
French Polynesia,null,301
Gabon,null,2268
Gambia,null,2541
Georgia,13327,3769
Germany,368717,83268
Ghana,5718,31849
Gibraltar,null,33
Greece,22429,10543
Grenada,null,123
Guadeloupe,null,395
Guam,null,169
Guatemala,null,17231
Guinea,null,13042
Guinea-Bissau,null,1993
Guyana,null,792
Haiti,null,11235
Honduras,null,10042
Hungary,38422,9770
Iceland,1636,364
India,49348,1348616
Indonesia,null,270826
Iran,24379,86990
Iraq,null,42043
Ireland,24141,4925
Isle of Man,null,84
Israel,13277,8686
Italy,58508,59640
Jamaica,null,2814
Japan,222661,125543
Jordan,39625,10817
Kazakhstan,40742,18861
Kenya,null,51460
Kiribati,null,125
Kuwait,null,4468
Kyrgyzstan,36596,6372
Laos,543,7266
Latvia,10148,1907
Lebanon,22894,5695
Lesotho,null,2240
Liberia,null,5034
Libya,null,6612
Liechtenstein,800,39
Lithuania,6559,2836
Luxembourg,3602,626
Madagascar,1421,27879
Malawi,null,19121
Malaysia,89193,33004
Maldives,null,511
Mali,null,20887
Malta,2413.83233,510
Marshall Islands,null,44
Martinique,null,371
Mauritania,354,4441
Mauritius,2782,1297
Mayotte,null,300
Mexico,43458,125610
Micronesia,null,112
Mongolia,null,3266
Montenegro,null,630
Montserrat,null,5
Morocco,24226,36489
Mozambique,null,30721
Myanmar,null,53228
Namibia,2162,2467
Nauru,null,12
Nepal,null,28999
Netherlands,124876,17402
New Caledonia,null,286
New Zealand,43699.13211,5026
Nicaragua,null,6710
Niger,null,23882
Nigeria,null,205781
Niue,null,2
North Macedonia,2812,2114
Northern Mariana Islands,null,50
Norway,12887,5368
Oman,3493,4589
Pakistan,null,225113
Palau,null,18
Palestine,null,4962
Panama,4830,4266
Papua New Guinea,null,9649
Paraguay,null,6573
Peru,null,33090
Philippines,null,111288
Poland,62091,38478
Portugal,44005,10298
Puerto Rico,null,3280
Qatar,13712,2829
South Korea,111568,51858
Moldova,5172,3095
Réunion,null,954
Romania,32560,19490
Russia,null,147959
Rwanda,3717,12987
Saint Helena,null,5
Saint Kitts and Nevis,null,48
Saint Lucia,339,179
Saint Pierre and Miquelon,null,6
Saint Vincent and the Grenadines,null,105
Saint-Barthélemy,null,11
Saint-Martin (French part),null,33
Samoa,75,213
San Marino,837,34
Sao Tome and Principe,null,216
Saudi Arabia,69005,36230
Senegal,15077,16215
Serbia,11419,7384
Seychelles,null,105
Sierra Leone,null,8140
Singapore,54982,5894
Sint Maarten (Dutch part),null,43
Slovakia,14254,5458
Slovenia,5974,2116
Solomon Islands,null,683
Somalia,null,16273
South Africa,36050,58466
South Sudan,null,10545
Spain,82269,47330
Sri Lanka,1306,21683
Sudan,null,43828
Suriname,null,604
Sweden,31934.87661,10321
Switzerland,57972,8606
Syrian Arab Republic,null,20486
Tajikistan,null,9443
Thailand,25086,71389
Timor-Leste,null,1290
Togo,null,8342
Tokelau,null,2
Tonga,17,105
Trinidad and Tobago,null,1514
Tunisia,8337,12106
Türkiye,185047,83812
Turkmenistan,153,6204
Turks and Caicos Islands,98,44
Tuvalu,null,11
Uganda,null,43686
Ukraine,61026,44091
United Arab Emirates,215975,9248
United Kingdom,550877,66951
United Republic of Tanzania,null,60772
United States of America,957475.1628,335388
United States Virgin Islands,null,101
Uruguay,3654,3428
Uzbekistan,null,33243
Vanuatu,null,308
Venezuela,null,28629
Vietnam,8646,96204
Wallis and Futuna Islands,null,12
Western Sahara,null,551
Yemen,null,31927
Zambia,null,18655
Zimbabwe,null,15505